trace,schema,rows,export_file
gpu_baseline.trace,metal-application-encoders-list,994,xctrace_gpu_baseline_metal-application-encoders-list.xml
gpu_baseline.trace,metal-command-buffer-completed,1117,xctrace_gpu_baseline_metal-command-buffer-completed.xml
gpu_baseline.trace,metal-driver-intervals,2610,xctrace_gpu_baseline_metal-driver-intervals.xml
gpu_baseline.trace,metal-gpu-intervals,1974,xctrace_gpu_baseline_metal-gpu-intervals.xml
gpu_baseline.trace,metal-gpu-state-intervals,3579,xctrace_gpu_baseline_metal-gpu-state-intervals.xml
gpu_occupancy_heavy.trace,metal-application-encoders-list,800,xctrace_gpu_occupancy_heavy_metal-application-encoders-list.xml
gpu_occupancy_heavy.trace,metal-command-buffer-completed,904,xctrace_gpu_occupancy_heavy_metal-command-buffer-completed.xml
gpu_occupancy_heavy.trace,metal-driver-intervals,2128,xctrace_gpu_occupancy_heavy_metal-driver-intervals.xml
gpu_occupancy_heavy.trace,metal-gpu-intervals,1638,xctrace_gpu_occupancy_heavy_metal-gpu-intervals.xml
gpu_occupancy_heavy.trace,metal-gpu-state-intervals,3008,xctrace_gpu_occupancy_heavy_metal-gpu-state-intervals.xml
gpu_register_pressure.trace,metal-application-encoders-list,800,xctrace_gpu_register_pressure_metal-application-encoders-list.xml
gpu_register_pressure.trace,metal-command-buffer-completed,910,xctrace_gpu_register_pressure_metal-command-buffer-completed.xml
gpu_register_pressure.trace,metal-driver-intervals,1939,xctrace_gpu_register_pressure_metal-driver-intervals.xml
gpu_register_pressure.trace,metal-gpu-intervals,1248,xctrace_gpu_register_pressure_metal-gpu-intervals.xml
gpu_register_pressure.trace,metal-gpu-state-intervals,2328,xctrace_gpu_register_pressure_metal-gpu-state-intervals.xml
gpu_threadgroup_heavy.trace,metal-application-encoders-list,794,xctrace_gpu_threadgroup_heavy_metal-application-encoders-list.xml
gpu_threadgroup_heavy.trace,metal-command-buffer-completed,909,xctrace_gpu_threadgroup_heavy_metal-command-buffer-completed.xml
gpu_threadgroup_heavy.trace,metal-driver-intervals,2034,xctrace_gpu_threadgroup_heavy_metal-driver-intervals.xml
gpu_threadgroup_heavy.trace,metal-gpu-intervals,1439,xctrace_gpu_threadgroup_heavy_metal-gpu-intervals.xml
gpu_threadgroup_heavy.trace,metal-gpu-state-intervals,2647,xctrace_gpu_threadgroup_heavy_metal-gpu-state-intervals.xml
gpu_threadgroup_minimal.trace,metal-application-encoders-list,799,xctrace_gpu_threadgroup_minimal_metal-application-encoders-list.xml
gpu_threadgroup_minimal.trace,metal-command-buffer-completed,901,xctrace_gpu_threadgroup_minimal_metal-command-buffer-completed.xml
gpu_threadgroup_minimal.trace,metal-driver-intervals,1896,xctrace_gpu_threadgroup_minimal_metal-driver-intervals.xml
gpu_threadgroup_minimal.trace,metal-gpu-intervals,1183,xctrace_gpu_threadgroup_minimal_metal-gpu-intervals.xml
gpu_threadgroup_minimal.trace,metal-gpu-state-intervals,2207,xctrace_gpu_threadgroup_minimal_metal-gpu-state-intervals.xml
