trace,schema
gpu_cache_time_profiler.trace,device-thermal-state-intervals
gpu_cache_time_profiler.trace,dyld-library-load
gpu_cache_time_profiler.trace,gcd-perf-event
gpu_cache_time_profiler.trace,global-poi-layout
gpu_cache_time_profiler.trace,global-roi-layout
gpu_cache_time_profiler.trace,hang-risks
gpu_cache_time_profiler.trace,kdebug
gpu_cache_time_profiler.trace,kdebug-signpost
gpu_cache_time_profiler.trace,kdebug-strings
gpu_cache_time_profiler.trace,life-cycle-period
gpu_cache_time_profiler.trace,os-log
gpu_cache_time_profiler.trace,os-log-arg
gpu_cache_time_profiler.trace,os-signpost
gpu_cache_time_profiler.trace,os-signpost-arg
gpu_cache_time_profiler.trace,potential-hangs
gpu_cache_time_profiler.trace,process-info
gpu_cache_time_profiler.trace,region-of-interest
gpu_cache_time_profiler.trace,roi-metadata
gpu_cache_time_profiler.trace,runloop-events
gpu_cache_time_profiler.trace,thread-info
gpu_cache_time_profiler.trace,tick
gpu_cache_time_profiler.trace,time-profile
gpu_cache_time_profiler.trace,time-sample
