abseil 20260107.1
ada-url 3.4.4
amfora 1.11.0
aom 3.13.2
apache-serf 1.3.10
apr 1.7.6
apr-util 1.6.3_1
argon2 20190702_1
aria2 1.37.0_1
arm-none-eabi-binutils 2.46.0
arm-none-eabi-gcc 15.2.0
aspell 0.60.8.2
assimp 6.0.4_1
autoconf 2.73
autogen 5.18.16_3
automake 1.18.1
bandit 1.9.4
bash 5.3.9
bat 0.26.1
bdw-gc 8.2.12
bear 4.1.0
berkeley-db@5 5.3.28_1
binutils 2.46.0
bison 3.8.2
blake3 1.8.3
bmake 20260313
bochs 3.0
boost 1.90.0_1
brotli 1.2.0
bsdmake 24
btop 1.4.6
byacc 20260126
c-ares 1.34.6
ca-certificates 2026-03-19
cabal-install 3.16.1.0
caf 1.1.0
cairo 1.18.4
capstone 5.0.7
cargo-llvm-cov 0.8.5
cargo-llvm-lines 0.4.45
ccache 4.13.2
cdrtools 3.02a09
certifi 2026.2.25
cffi 2.0.0_1
cfitsio 4.6.3_1
cflow 1.8
chafa 1.18.1
chezscheme 10.3.0
clang-build-analyzer 1.6.0
clang-format 22.1.2
clangql 0.23.0
cling 1.3
cloc 2.08
cmake 4.3.1
cmake-docs 4.3.1
cmake-language-server 0.1.11
cmake-lint 1.4.3
codespell 2.4.2
colima 0.10.1
composer 2.9.5
coreutils 9.10
cpl 7.3.4
cppcheck 2.20.0
cppunit 1.15.1
cproto 4.7y
crosstool-ng 1.28.0
cryptography 46.0.6
cscope 15.9
ctags 5.8_2
cunit 2.1-3
curl 8.19.0
cyrus-sasl 2.1.28_2
cython 3.2.4
dav1d 1.5.3
dbus 1.16.2_1
diffoscope 315
distcc 3.4_3
docker 29.3.1
docker-completion 29.3.1
double-conversion 3.4.0
doxygen 1.16.1
dtc 1.7.2
duf 0.9.1
dust 1.2.4
dynamips 0.2.23
emscripten 5.0.4
extra-cmake-modules 6.24.0
eza 0.23.4
fastfetch 2.61.0
fd 10.4.2
fdupes 2.4.0
felinks 0.19.1
