trace,schema,rows,export_file
cpu_time_profiler.trace,dyld-library-load,0,xctrace_cpu_time_profiler_dyld-library-load.xml
cpu_time_profiler.trace,gcd-perf-event,0,xctrace_cpu_time_profiler_gcd-perf-event.xml
cpu_time_profiler.trace,life-cycle-period,4,xctrace_cpu_time_profiler_life-cycle-period.xml
cpu_time_profiler.trace,process-info,883,xctrace_cpu_time_profiler_process-info.xml
cpu_time_profiler.trace,thread-info,4225,xctrace_cpu_time_profiler_thread-info.xml
cpu_time_profiler.trace,time-profile,67,xctrace_cpu_time_profiler_time-profile.xml
cpu_time_profiler.trace,time-sample,69,xctrace_cpu_time_profiler_time-sample.xml
gpu_baseline.trace,dyld-library-load,0,xctrace_gpu_baseline_dyld-library-load.xml
gpu_baseline.trace,life-cycle-period,4,xctrace_gpu_baseline_life-cycle-period.xml
gpu_baseline.trace,metal-application-encoders-list,1000,xctrace_gpu_baseline_metal-application-encoders-list.xml
gpu_baseline.trace,metal-command-buffer-completed,1072,xctrace_gpu_baseline_metal-command-buffer-completed.xml
gpu_baseline.trace,metal-driver-event-per-thread-intervals,0,xctrace_gpu_baseline_metal-driver-event-per-thread-intervals.xml
gpu_baseline.trace,metal-driver-intervals,2208,xctrace_gpu_baseline_metal-driver-intervals.xml
gpu_baseline.trace,metal-gpu-counter-intervals,0,xctrace_gpu_baseline_metal-gpu-counter-intervals.xml
gpu_baseline.trace,metal-gpu-intervals,1259,xctrace_gpu_baseline_metal-gpu-intervals.xml
gpu_baseline.trace,metal-gpu-state-intervals,2465,xctrace_gpu_baseline_metal-gpu-state-intervals.xml
gpu_baseline.trace,metal-shader-profiler-intervals,0,xctrace_gpu_baseline_metal-shader-profiler-intervals.xml
gpu_baseline.trace,process-info,861,xctrace_gpu_baseline_process-info.xml
gpu_baseline.trace,thread-info,4183,xctrace_gpu_baseline_thread-info.xml
gpu_baseline.trace,time-profile,71,xctrace_gpu_baseline_time-profile.xml
gpu_baseline.trace,time-sample,73,xctrace_gpu_baseline_time-sample.xml
gpu_compare.trace,dyld-library-load,0,xctrace_gpu_compare_dyld-library-load.xml
gpu_compare.trace,gcd-perf-event,10,xctrace_gpu_compare_gcd-perf-event.xml
gpu_compare.trace,life-cycle-period,4,xctrace_gpu_compare_life-cycle-period.xml
gpu_compare.trace,process-info,886,xctrace_gpu_compare_process-info.xml
gpu_compare.trace,thread-info,4229,xctrace_gpu_compare_thread-info.xml
gpu_compare.trace,time-profile,1016,xctrace_gpu_compare_time-profile.xml
gpu_compare.trace,time-sample,1018,xctrace_gpu_compare_time-sample.xml
