baseline_variant,variant,counter,baseline_avg_pct,variant_avg_pct,avg_delta_pct,avg_ratio,baseline_p99_pct,variant_p99_pct,p99_delta_pct,baseline_peak_pct,variant_peak_pct,peak_delta_pct
baseline,occupancy_heavy,ALU Utilization,0.388,0.753,0.365,1.941,6.645,10.621,3.976,81.387,81.862,0.475
baseline,occupancy_heavy,Compute Occupancy,0.026,0.130,0.104,5.000,0.046,0.298,0.252,5.342,97.099,91.757
baseline,occupancy_heavy,F16 Utilization,0.107,0.125,0.018,1.168,1.386,3.697,2.311,25.639,25.639,0.000
baseline,occupancy_heavy,F32 Utilization,0.070,0.091,0.021,1.300,1.363,2.426,1.063,23.593,38.620,15.027
baseline,occupancy_heavy,Fragment Occupancy,0.639,0.805,0.166,1.260,20.486,29.207,8.721,100.000,100.000,0.000
baseline,occupancy_heavy,GPU Read Bandwidth,0.157,0.235,0.078,1.497,2.016,7.558,5.542,33.679,50.191,16.512
baseline,occupancy_heavy,GPU Write Bandwidth,0.126,0.148,0.022,1.175,2.056,3.025,0.969,25.548,38.466,12.918
baseline,occupancy_heavy,LLC Utilization,0.219,0.279,0.060,1.274,4.630,6.791,2.161,26.368,34.607,8.239
baseline,occupancy_heavy,Top Performance Limiter,0.704,1.094,0.390,1.554,19.751,28.196,8.445,100.000,100.000,0.000
baseline,occupancy_heavy,Total Occupancy,0.799,1.331,0.532,1.666,31.631,54.285,22.654,100.009,100.001,-0.008
baseline,register_pressure,ALU Utilization,0.388,0.927,0.539,2.389,6.645,19.571,12.926,81.387,82.459,1.072
baseline,register_pressure,Compute Occupancy,0.026,0.095,0.069,3.654,0.046,0.285,0.239,5.342,6.643,1.301
baseline,register_pressure,F16 Utilization,0.107,0.126,0.019,1.178,1.386,5.387,4.001,25.639,19.205,-6.434
baseline,register_pressure,F32 Utilization,0.070,0.185,0.115,2.643,1.363,3.939,2.576,23.593,29.768,6.175
baseline,register_pressure,Fragment Occupancy,0.639,1.001,0.362,1.567,20.486,43.153,22.667,100.000,100.000,0.000
baseline,register_pressure,GPU Read Bandwidth,0.157,0.170,0.013,1.083,2.016,4.658,2.642,33.679,27.144,-6.535
baseline,register_pressure,GPU Write Bandwidth,0.126,0.143,0.017,1.135,2.056,2.629,0.573,25.548,25.762,0.214
baseline,register_pressure,LLC Utilization,0.219,0.277,0.058,1.265,4.630,6.995,2.365,26.368,27.380,1.012
baseline,register_pressure,Top Performance Limiter,0.704,1.340,0.636,1.903,19.751,39.628,19.877,100.000,100.000,0.000
baseline,register_pressure,Total Occupancy,0.799,1.406,0.607,1.760,31.631,60.113,28.482,100.009,100.016,0.007
baseline,threadgroup_heavy,ALU Utilization,0.388,0.514,0.126,1.325,6.645,14.953,8.308,81.387,81.170,-0.217
baseline,threadgroup_heavy,Compute Occupancy,0.026,0.167,0.141,6.423,0.046,0.392,0.346,5.342,5.606,0.264
baseline,threadgroup_heavy,F16 Utilization,0.107,0.126,0.019,1.178,1.386,2.777,1.391,25.639,25.632,-0.007
baseline,threadgroup_heavy,F32 Utilization,0.070,0.081,0.011,1.157,1.363,2.745,1.382,23.593,23.325,-0.268
baseline,threadgroup_heavy,Fragment Occupancy,0.639,0.862,0.223,1.349,20.486,34.046,13.560,100.000,100.000,0.000
baseline,threadgroup_heavy,GPU Read Bandwidth,0.157,0.249,0.092,1.586,2.016,6.497,4.481,33.679,39.574,5.895
baseline,threadgroup_heavy,GPU Write Bandwidth,0.126,0.184,0.058,1.460,2.056,4.322,2.266,25.548,33.511,7.963
baseline,threadgroup_heavy,LLC Utilization,0.219,0.354,0.135,1.616,4.630,7.595,2.965,26.368,35.910,9.542
baseline,threadgroup_heavy,Top Performance Limiter,0.704,0.932,0.228,1.324,19.751,31.112,11.361,100.000,100.000,0.000
baseline,threadgroup_heavy,Total Occupancy,0.799,1.407,0.608,1.761,31.631,52.189,20.558,100.009,100.058,0.049
baseline,threadgroup_minimal,ALU Utilization,0.388,0.392,0.004,1.010,6.645,0.513,-6.132,81.387,81.138,-0.249
baseline,threadgroup_minimal,Compute Occupancy,0.026,0.074,0.048,2.846,0.046,0.251,0.205,5.342,5.373,0.031
baseline,threadgroup_minimal,F16 Utilization,0.107,0.056,-0.051,0.523,1.386,0.063,-1.323,25.639,25.549,-0.090
baseline,threadgroup_minimal,F32 Utilization,0.070,0.032,-0.038,0.457,1.363,0.141,-1.222,23.593,23.010,-0.583
baseline,threadgroup_minimal,Fragment Occupancy,0.639,0.296,-0.343,0.463,20.486,0.760,-19.726,100.000,98.486,-1.514
baseline,threadgroup_minimal,GPU Read Bandwidth,0.157,0.111,-0.046,0.707,2.016,0.549,-1.467,33.679,33.466,-0.213
baseline,threadgroup_minimal,GPU Write Bandwidth,0.126,0.097,-0.029,0.770,2.056,0.714,-1.342,25.548,26.117,0.569
baseline,threadgroup_minimal,LLC Utilization,0.219,0.180,-0.039,0.822,4.630,0.913,-3.717,26.368,27.097,0.729
baseline,threadgroup_minimal,Top Performance Limiter,0.704,0.493,-0.211,0.700,19.751,1.128,-18.623,100.000,99.243,-0.757
baseline,threadgroup_minimal,Total Occupancy,0.799,0.484,-0.315,0.606,31.631,9.944,-21.687,100.009,98.494,-1.515
