trace,schema
gpu_bfloat16.trace,device-gpu-info
gpu_bfloat16.trace,dyld-library-load
gpu_bfloat16.trace,gpu-aps-stream
gpu_bfloat16.trace,gpu-counter-info
gpu_bfloat16.trace,gpu-counter-value
gpu_bfloat16.trace,kdebug
gpu_bfloat16.trace,kdebug-strings
gpu_bfloat16.trace,metal-gpu-counter-intervals
gpu_bfloat16.trace,metal-gpu-counter-profile
gpu_bfloat16.trace,process-info
gpu_bfloat16.trace,thread-info
gpu_bfloat16.trace,tick
gpu_float16.trace,device-gpu-info
gpu_float16.trace,dyld-library-load
gpu_float16.trace,gpu-aps-stream
gpu_float16.trace,gpu-counter-info
gpu_float16.trace,gpu-counter-value
gpu_float16.trace,kdebug
gpu_float16.trace,kdebug-strings
gpu_float16.trace,metal-gpu-counter-intervals
gpu_float16.trace,metal-gpu-counter-profile
gpu_float16.trace,process-info
gpu_float16.trace,thread-info
gpu_float16.trace,tick
gpu_float32.trace,device-gpu-info
gpu_float32.trace,dyld-library-load
gpu_float32.trace,gpu-aps-stream
gpu_float32.trace,gpu-counter-info
gpu_float32.trace,gpu-counter-value
gpu_float32.trace,kdebug
gpu_float32.trace,kdebug-strings
gpu_float32.trace,metal-gpu-counter-intervals
gpu_float32.trace,metal-gpu-counter-profile
gpu_float32.trace,process-info
gpu_float32.trace,thread-info
gpu_float32.trace,tick
gpu_fmt_bfloat16.trace,ca-client-buffer-wait-interval
gpu_fmt_bfloat16.trace,ca-client-present-request
gpu_fmt_bfloat16.trace,ca-client-presented-handler
gpu_fmt_bfloat16.trace,device-display-info
gpu_fmt_bfloat16.trace,device-gpu-info
gpu_fmt_bfloat16.trace,device-thermal-state-intervals
gpu_fmt_bfloat16.trace,display-compositor-events-interval
gpu_fmt_bfloat16.trace,display-compositor-interval
gpu_fmt_bfloat16.trace,display-events-interval
gpu_fmt_bfloat16.trace,display-surface-queue
gpu_fmt_bfloat16.trace,display-surface-swap
gpu_fmt_bfloat16.trace,display-vsyncs-interval
gpu_fmt_bfloat16.trace,displayed-surfaces-interval
gpu_fmt_bfloat16.trace,displayed-surfaces-per-second
gpu_fmt_bfloat16.trace,dyld-library-load
