variant_trace,schema,baseline_rows,variant_rows,delta_rows,delta_pct
gpu_fmt_fp4.trace,metal-application-encoders-list,384,384,0,0.00%
gpu_fmt_fp4.trace,metal-command-buffer-completed,438,698,260,59.36%
gpu_fmt_fp4.trace,metal-driver-intervals,876,2645,1769,201.94%
gpu_fmt_fp4.trace,metal-gpu-intervals,492,3410,2918,593.09%
gpu_fmt_fp4.trace,metal-gpu-state-intervals,983,6499,5516,561.14%
gpu_fmt_int16.trace,metal-application-encoders-list,384,384,0,0.00%
gpu_fmt_int16.trace,metal-command-buffer-completed,438,484,46,10.50%
gpu_fmt_int16.trace,metal-driver-intervals,876,1664,788,89.95%
gpu_fmt_int16.trace,metal-gpu-intervals,492,1951,1459,296.54%
gpu_fmt_int16.trace,metal-gpu-state-intervals,983,3788,2805,285.35%
gpu_fmt_int32.trace,metal-application-encoders-list,384,383,-1,-0.26%
gpu_fmt_int32.trace,metal-command-buffer-completed,438,565,127,29.00%
gpu_fmt_int32.trace,metal-driver-intervals,876,2795,1919,219.06%
gpu_fmt_int32.trace,metal-gpu-intervals,492,3920,3428,696.75%
gpu_fmt_int32.trace,metal-gpu-state-intervals,983,7503,6520,663.28%
gpu_fmt_int4.trace,metal-application-encoders-list,384,382,-2,-0.52%
gpu_fmt_int4.trace,metal-command-buffer-completed,438,447,9,2.05%
gpu_fmt_int4.trace,metal-driver-intervals,876,1130,254,29.00%
gpu_fmt_int4.trace,metal-gpu-intervals,492,964,472,95.93%
gpu_fmt_int4.trace,metal-gpu-state-intervals,983,1875,892,90.74%
gpu_fmt_int64.trace,metal-application-encoders-list,384,382,-2,-0.52%
gpu_fmt_int64.trace,metal-command-buffer-completed,438,526,88,20.09%
gpu_fmt_int64.trace,metal-driver-intervals,876,2108,1232,140.64%
gpu_fmt_int64.trace,metal-gpu-intervals,492,2661,2169,440.85%
gpu_fmt_int64.trace,metal-gpu-state-intervals,983,5064,4081,415.16%
gpu_fmt_uint16.trace,metal-application-encoders-list,384,384,0,0.00%
gpu_fmt_uint16.trace,metal-command-buffer-completed,438,526,88,20.09%
gpu_fmt_uint16.trace,metal-driver-intervals,876,1159,283,32.31%
gpu_fmt_uint16.trace,metal-gpu-intervals,492,880,388,78.86%
gpu_fmt_uint16.trace,metal-gpu-state-intervals,983,1728,745,75.79%
gpu_fmt_uint32.trace,metal-application-encoders-list,384,384,0,0.00%
gpu_fmt_uint32.trace,metal-command-buffer-completed,438,400,-38,-8.68%
gpu_fmt_uint32.trace,metal-driver-intervals,876,868,-8,-0.91%
gpu_fmt_uint32.trace,metal-gpu-intervals,492,545,53,10.77%
gpu_fmt_uint32.trace,metal-gpu-state-intervals,983,1073,90,9.16%
gpu_fmt_uint4.trace,metal-application-encoders-list,384,384,0,0.00%
gpu_fmt_uint4.trace,metal-command-buffer-completed,438,453,15,3.42%
gpu_fmt_uint4.trace,metal-driver-intervals,876,1144,268,30.59%
gpu_fmt_uint4.trace,metal-gpu-intervals,492,982,490,99.59%
gpu_fmt_uint4.trace,metal-gpu-state-intervals,983,1912,929,94.51%
gpu_fmt_uint64.trace,metal-application-encoders-list,384,384,0,0.00%
gpu_fmt_uint64.trace,metal-command-buffer-completed,438,1052,614,140.18%
gpu_fmt_uint64.trace,metal-driver-intervals,876,3642,2766,315.75%
gpu_fmt_uint64.trace,metal-gpu-intervals,492,4673,4181,849.80%
gpu_fmt_uint64.trace,metal-gpu-state-intervals,983,8485,7502,763.17%
