binary,source,mnemonic,count
sm_apple_cpu_latency_O0,objdump,add,64
sm_apple_cpu_latency_O0,objdump,adrp,19
sm_apple_cpu_latency_O0,objdump,and,3
sm_apple_cpu_latency_O0,objdump,b,39
sm_apple_cpu_latency_O0,objdump,b.ge,2
sm_apple_cpu_latency_O0,objdump,b.hs,3
sm_apple_cpu_latency_O0,objdump,b.le,1
sm_apple_cpu_latency_O0,objdump,b.ls,1
sm_apple_cpu_latency_O0,objdump,bl,23
sm_apple_cpu_latency_O0,objdump,cbnz,4
sm_apple_cpu_latency_O0,objdump,fadd,32
sm_apple_cpu_latency_O0,objdump,fcmp,1
sm_apple_cpu_latency_O0,objdump,fdiv,2
sm_apple_cpu_latency_O0,objdump,fmadd,32
sm_apple_cpu_latency_O0,objdump,fmov,8
sm_apple_cpu_latency_O0,objdump,fmul,1
sm_apple_cpu_latency_O0,objdump,ldp,6
sm_apple_cpu_latency_O0,objdump,ldr,38
sm_apple_cpu_latency_O0,objdump,ldrb,4
sm_apple_cpu_latency_O0,objdump,ldrsw,4
sm_apple_cpu_latency_O0,objdump,ldur,33
sm_apple_cpu_latency_O0,objdump,ldurb,1
sm_apple_cpu_latency_O0,objdump,mov,20
sm_apple_cpu_latency_O0,objdump,movi,2
sm_apple_cpu_latency_O0,objdump,movk,5
sm_apple_cpu_latency_O0,objdump,mul,1
sm_apple_cpu_latency_O0,objdump,ret,6
sm_apple_cpu_latency_O0,objdump,stp,6
sm_apple_cpu_latency_O0,objdump,str,40
sm_apple_cpu_latency_O0,objdump,strb,2
sm_apple_cpu_latency_O0,objdump,stur,22
sm_apple_cpu_latency_O0,objdump,sturb,1
sm_apple_cpu_latency_O0,objdump,sub,6
sm_apple_cpu_latency_O0,objdump,subs,9
sm_apple_cpu_latency_O0,objdump,tbz,2
sm_apple_cpu_latency_O0,objdump,ucvtf,3
sm_apple_cpu_latency_O0,objdump,udiv,1
sm_apple_cpu_latency_O0,otool,add,64
sm_apple_cpu_latency_O0,otool,adrp,19
sm_apple_cpu_latency_O0,otool,and,3
sm_apple_cpu_latency_O0,otool,b,39
sm_apple_cpu_latency_O0,otool,b.ge,2
sm_apple_cpu_latency_O0,otool,b.hs,3
sm_apple_cpu_latency_O0,otool,b.le,1
sm_apple_cpu_latency_O0,otool,b.ls,1
sm_apple_cpu_latency_O0,otool,bl,23
sm_apple_cpu_latency_O0,otool,cbnz,4
sm_apple_cpu_latency_O0,otool,fadd,32
sm_apple_cpu_latency_O0,otool,fcmp,1
sm_apple_cpu_latency_O0,otool,fdiv,2
sm_apple_cpu_latency_O0,otool,fmadd,32
sm_apple_cpu_latency_O0,otool,fmov,8
